"Billmate Bankpay","Billmate Bankbetalning"
"Billmate Bank","Billmate Bankbetalning"
"The bank payment has been canceled. Please try again or choose a different payment method.","Bankbetalningen avbröts innan det fullföljdes. Var vänlig prova igen eller välj ett annat betalalternativ."
"Unfortunately your bank payment was not processed with the provided bank details. Please try again or choose another payment method.","Dessvärre gick det inte att genomföra bankbetalningen med de uppgifter ni tillhandahållit. Var vänlig försök igen eller välj ett annat betalsätt."
"Billmate Card","Billmate Kort"
"Billmate Cardpay","Billmate Kort"
"Enable Prompt Name","Visa namn i betalfönster"
"Enable 3D Secure","Aktivera 3D Secure"
"Sale", "Debitera belopp"
"Authorize Only", "Reservera belopp"
"Authorize Only = Authorize the money, debit later.<br/>Sale = Debit the money directly.", "Reservera belopp = Reservera beloppet, debitera senare. | Debitera belopp = Debitera pengarna direkt."
"The card payment has been canceled. Please try again or choose a different payment method.","Kortköpet avbröts innan det fullföljdes. Var vänlig prova igen eller välj ett annat betalalternativ."
"Unfortunately your card payment was not processed with the provided card details. Please try again or choose another payment method.","Dessvärre gick det inte att genomföra kortköpet med de uppgifter ni tillhandahållit. Var vänlig försök igen eller välj ett annat betalsätt."
"Billmate Part Payment","Billmate Delbetalning"
"Billmate Partpayment","Billmate Delbetalning"
"Country","Land"
"Couldn’t update Paymentplans","Kunde inte uppdatera betalplaner"
"Description","Beskrivning"
"Expire","Upphör"
"from","från"
"Invoice Fee","Faktureringsavgift"
"Interest rate","Ränta"
"Min Amount","Minsta belopp"
"month","månad"
" %s from %s %s / month"," %s från %s %s / månad"
"Months","månader"
"months of partpayment","månaders delbetalning"
"Saved Pclases","Sparade delbetalningsalternativ"
"Start fee","Startavgift"
"terms of partpayment.","k&#246;pvillkoren."
"Type","Typ"
"Update", "Uppdatera"
"Update paymentplans", "Uppdatera delbetalningsalternativ"
"Update paymentplans to refresh plans.", "Uppdatera för att förnya delbetalningingsalternativen."
"Updated paymentplans","Uppdaterade betalplaner"
"Billmate Invoice Fee (Excl. Vat)","Fakturaavgift (exkl. moms)"
"Billmate Invoice Fee (Incl. Vat)","Fakturaavgift (inkl. moms)"
"Billmate Invoice Fee","Fakturaavgift"
"Billmate Invoice","Billmate Faktura"
"Billmate Invoice - %s invoice fee is added to the order.","Billmate Faktura - Fakturaavgift på %s tillkommer på ordern."
"Invoice fee","Fakturaavgift"
"Invoice fee tax class","Momssats på faktureringsavgiften"
"Select the tax class to be used for the invoice fee.","Välj momsklass som ska användas för fakturaavgiften."
"Specified in base currency.","Specificerad i basvalutan."
"The tax class to use to calculate the invoice fee tax","Momssatsen som räknas på faktureringsavgiften"
"Include tax on invoice fee","Visa fakturaavgift inkl moms."
"Choose if you want to show incl tax on frontend for the invoice fee","Välj om du vill att fakturaavgiften ska visas inkl moms."


